m_phi,Delta_phi_ini,sector
0.37039999999999995,1.6380000000000003,A
0.37039999999999995,1.6400000000000003,A
0.37039999999999995,1.6420000000000003,A
0.37039999999999995,1.6440000000000003,A
0.37039999999999995,1.6460000000000004,A
0.37039999999999995,1.6480000000000004,A
0.37039999999999995,1.6500000000000004,A
0.37039999999999995,1.6520000000000004,A
0.37039999999999995,1.6540000000000004,A
0.37039999999999995,1.6560000000000004,A
0.37039999999999995,1.6580000000000004,A
0.37039999999999995,1.6600000000000004,A
0.37039999999999995,1.6620000000000004,A
0.37039999999999995,1.6640000000000004,A
0.37039999999999995,1.6660000000000004,A
0.37039999999999995,1.6680000000000004,A
0.37039999999999995,1.6700000000000004,A
0.37039999999999995,1.6720000000000004,A
0.37039999999999995,1.6740000000000004,A
0.37039999999999995,1.6760000000000004,A
0.37039999999999995,1.6780000000000004,A
0.37039999999999995,1.6800000000000004,A
0.37039999999999995,1.6820000000000004,A
0.37039999999999995,1.6840000000000004,A
0.37039999999999995,1.6860000000000004,A
0.37039999999999995,1.6880000000000004,A
0.37039999999999995,1.6900000000000004,A
0.37039999999999995,1.6920000000000004,A
0.37039999999999995,1.6940000000000004,A
0.37039999999999995,1.6960000000000004,A
0.37039999999999995,1.6980000000000004,A
0.37039999999999995,1.7000000000000004,A
0.37059999999999993,1.25,B
0.37059999999999993,1.252,B
0.37059999999999993,1.254,B
0.37059999999999993,1.256,B
0.37059999999999993,1.258,B
0.37059999999999993,1.26,B
0.37059999999999993,1.262,B
0.37059999999999993,1.264,B
0.37059999999999993,1.266,B
0.37059999999999993,1.268,B
0.37059999999999993,1.27,B
0.37059999999999993,1.272,B
0.37059999999999993,1.274,B
0.37059999999999993,1.276,B
0.37059999999999993,1.278,B
0.37059999999999993,1.28,B
0.37059999999999993,1.282,B
0.37059999999999993,1.284,B
0.37059999999999993,1.286,B
0.37059999999999993,1.288,B
0.37059999999999993,1.29,B
0.37059999999999993,1.292,B
0.37059999999999993,1.294,B
0.37059999999999993,1.296,B
0.37059999999999993,1.298,B
0.37059999999999993,1.3,B
0.37059999999999993,1.302,B
0.37059999999999993,1.304,B
0.37059999999999993,1.306,B
0.37059999999999993,1.308,B
0.37059999999999993,1.31,B
0.37059999999999993,1.312,B
0.37059999999999993,1.314,B
0.37059999999999993,1.316,B
0.37059999999999993,1.318,B
0.37059999999999993,1.32,B
0.37059999999999993,1.322,B
0.37059999999999993,1.324,B
0.37059999999999993,1.326,B
0.37059999999999993,1.328,B
0.37059999999999993,1.33,B
0.37059999999999993,1.332,B
0.37059999999999993,1.334,B
0.37059999999999993,1.336,B
0.37059999999999993,1.338,B
0.37059999999999993,1.34,B
0.37059999999999993,1.342,B
0.37059999999999993,1.344,B
0.37059999999999993,1.346,B
0.37059999999999993,1.348,B
0.37059999999999993,1.35,B
0.37059999999999993,1.352,B
0.37059999999999993,1.354,B
0.37059999999999993,1.356,B
0.37059999999999993,1.358,B
0.37059999999999993,1.36,B
0.37059999999999993,1.362,B
0.37059999999999993,1.364,B
0.37059999999999993,1.366,B
0.37059999999999993,1.368,B
0.37059999999999993,1.37,B
0.37059999999999993,1.372,B
0.37059999999999993,1.374,B
0.37059999999999993,1.3760000000000001,B
0.37059999999999993,1.3780000000000001,B
0.37059999999999993,1.3800000000000001,B
0.37059999999999993,1.3820000000000001,B
0.37059999999999993,1.3840000000000001,B
0.37059999999999993,1.3860000000000001,B
0.37059999999999993,1.3880000000000001,B
0.37059999999999993,1.3900000000000001,B
0.37059999999999993,1.3920000000000001,B
0.37059999999999993,1.3940000000000001,B
0.37059999999999993,1.3960000000000001,B
0.37059999999999993,1.3980000000000001,B
